dest room,bill room,date,time,#orders,menu id
restaurant,S4,16-01-18,1:25:00 AM,4,13
restaurant,S6,16-01-13,8:56:00 PM,2,6
restaurant,S6,16-01-15,12:12:00 PM,2,7
L12,L12,16-03-28,5:07:00 AM,4,1
S11,S11,16-01-14,5:30:00 PM,5,1
S13,S13,16-01-13,4:42:00 PM,4,3
restaurant,S16,16-02-13,4:48:00 AM,3,5
L0,L0,16-03-09,9:03:00 AM,1,11
L0,L0,16-03-07,10:43:00 AM,4,4
L0,L0,16-03-06,8:32:00 AM,4,2
restaurant,L0,16-03-08,12:02:00 AM,2,10
S14,S14,16-01-14,9:24:00 AM,2,8
restaurant,S14,16-01-13,11:02:00 AM,5,6
S17,S17,16-01-12,5:08:00 PM,2,13
S17,S17,16-01-10,12:48:00 AM,1,12
restaurant,L3,16-01-27,7:43:00 PM,1,14
restaurant,L3,16-01-26,7:09:00 AM,2,5
L5,L5,16-02-09,7:54:00 AM,3,15
restaurant,L5,16-02-10,6:41:00 AM,3,11
L3,L3,16-03-29,7:33:00 PM,5,5
restaurant,L3,16-03-31,6:36:00 PM,5,0
L3,L3,16-03-29,3:55:00 AM,5,7
restaurant,S2,16-03-13,10:10:00 PM,1,10
restaurant,S4,16-03-15,2:45:00 PM,2,4
S8,S8,16-01-23,8:45:00 PM,1,10
restaurant,L2,16-02-21,3:37:00 PM,3,11
restaurant,L2,16-02-23,6:56:00 AM,5,1
L2,L2,16-02-22,10:30:00 AM,5,11
restaurant,L2,16-02-18,10:55:00 PM,4,15
restaurant,L1,16-03-16,2:05:00 PM,1,0
L1,L1,16-03-16,9:46:00 AM,4,6
restaurant,L1,16-03-07,11:49:00 AM,1,11
restaurant,L1,16-03-07,11:31:00 AM,1,9
L1,L1,16-03-07,4:06:00 AM,3,0
L1,L1,16-03-17,10:18:00 PM,5,15
restaurant,L1,16-03-10,4:35:00 PM,3,4
restaurant,S3,16-02-19,1:44:00 PM,4,15
S4,S4,16-02-19,1:48:00 PM,2,4
restaurant,S29,16-02-24,3:54:00 AM,3,0
S1,S1,16-03-08,5:27:00 AM,1,5
restaurant,S0,16-01-26,7:20:00 PM,5,1
restaurant,X7,16-01-24,11:51:00 PM,1,5
restaurant,S9,16-01-13,6:42:00 PM,2,13
restaurant,S11,16-01-26,6:40:00 PM,3,12
L1,L1,16-02-25,2:21:00 AM,1,9
restaurant,S5,16-02-23,12:54:00 AM,4,4
restaurant,S8,16-02-21,4:55:00 AM,4,3
restaurant,L3,16-02-17,1:00:00 PM,5,0
L4,L4,16-02-18,12:49:00 AM,3,0
restaurant,L1,16-02-20,9:39:00 AM,5,6
restaurant,S6,16-03-11,2:52:00 AM,1,11
restaurant,N13,16-03-14,2:09:00 PM,2,6
N14,N14,16-03-09,12:56:00 PM,2,10
restaurant,S0,16-03-25,4:57:00 AM,1,9
restaurant,S1,16-03-23,10:40:00 AM,2,11
restaurant,N12,16-03-20,6:32:00 PM,3,2
restaurant,L0,16-02-02,7:21:00 PM,5,11
restaurant,L5,16-03-12,5:18:00 PM,5,15
L5,L5,16-03-12,12:57:00 PM,5,13
restaurant,S1,16-02-01,10:31:00 PM,4,10
restaurant,L6,16-02-06,4:36:00 PM,2,12
restaurant,L6,16-02-09,7:28:00 PM,1,7
L2,L2,16-01-23,10:33:00 PM,5,1
L3,L3,16-01-20,7:50:00 PM,5,8
restaurant,L3,16-01-21,4:24:00 PM,1,2
restaurant,L3,16-01-24,1:54:00 PM,5,1
restaurant,N5,16-02-09,11:06:00 AM,5,7
restaurant,N8,16-02-06,8:49:00 PM,1,1
restaurant,L9,16-03-13,6:13:00 AM,1,2
restaurant,L9,16-03-12,8:49:00 PM,1,8
restaurant,L2,16-01-03,8:20:00 PM,1,0
restaurant,L2,16-01-04,7:13:00 AM,3,15
restaurant,L5,16-02-17,6:13:00 PM,5,11
restaurant,S19,16-01-14,3:22:00 PM,5,6
N15,N15,16-03-02,2:23:00 AM,2,8
restaurant,N16,16-03-03,2:40:00 PM,3,7
S0,S0,16-01-04,7:53:00 AM,2,15
S1,S1,16-01-04,2:12:00 AM,2,1
restaurant,S2,16-01-27,12:53:00 AM,5,1
restaurant,S2,16-01-28,10:22:00 PM,5,6
S2,S2,16-02-04,2:16:00 PM,3,11
restaurant,S3,16-02-02,2:05:00 PM,5,11
S3,S3,16-02-03,2:39:00 PM,2,9
restaurant,S3,16-01-27,12:07:00 PM,1,14
restaurant,S4,16-01-31,10:20:00 AM,3,6
S4,S4,16-01-29,7:14:00 PM,2,7
restaurant,S4,16-01-25,5:00:00 PM,3,12
restaurant,S4,16-01-31,6:28:00 AM,2,4
restaurant,S7,16-03-08,3:37:00 PM,5,9
restaurant,S8,16-03-06,9:50:00 PM,3,3
restaurant,N12,16-04-01,4:09:00 PM,3,5
N14,N14,16-04-07,11:08:00 AM,4,12
restaurant,N21,16-03-16,9:32:00 AM,1,15
restaurant,N24,16-03-15,5:46:00 PM,2,15
N25,N25,16-03-17,3:15:00 AM,3,4
restaurant,L0,16-01-08,2:09:00 AM,4,9
restaurant,L0,16-01-16,11:19:00 AM,4,0
restaurant,L0,16-01-13,11:45:00 PM,5,1
L0,L0,16-01-06,6:23:00 AM,2,5
restaurant,L0,16-01-08,7:32:00 PM,2,8
L0,L0,16-01-11,12:51:00 AM,2,5
S0,S0,16-03-01,8:35:00 PM,3,8
S2,S2,16-03-01,11:41:00 PM,5,6
restaurant,S3,16-03-30,11:20:00 PM,5,13
restaurant,L4,16-01-22,7:18:00 PM,4,15
restaurant,L4,16-01-26,7:06:00 AM,4,15
restaurant,L4,16-01-24,10:24:00 AM,3,6
restaurant,L5,16-01-28,4:14:00 AM,3,11
restaurant,L5,16-01-27,3:16:00 PM,5,10
L5,L5,16-01-25,11:02:00 PM,4,13
restaurant,L5,16-01-22,2:47:00 PM,3,9
restaurant,L1,16-02-15,10:03:00 PM,4,13
X9,X9,16-01-13,1:52:00 PM,3,2
restaurant,L4,16-03-16,8:47:00 PM,4,11
L4,L4,16-03-20,1:10:00 AM,3,3
restaurant,L4,16-03-17,3:05:00 AM,1,13
restaurant,L4,16-03-20,11:44:00 PM,3,4
restaurant,L2,16-03-02,1:51:00 AM,3,1
restaurant,S11,16-03-17,3:28:00 AM,4,13
S88,S88,16-01-08,8:38:00 AM,2,9
restaurant,S89,16-01-07,6:50:00 PM,1,3
S90,S90,16-01-08,12:54:00 PM,4,8
restaurant,S3,16-03-22,1:43:00 AM,5,7
S9,S9,16-03-23,12:52:00 AM,5,2
S10,S10,16-03-19,7:00:00 PM,5,0
restaurant,S10,16-03-25,7:18:00 PM,5,6
S10,S10,16-03-19,8:34:00 AM,4,11
L6,L6,16-03-31,5:55:00 AM,1,2
L6,L6,16-04-02,2:30:00 PM,3,15
S21,S21,16-01-28,7:54:00 AM,5,9
restaurant,L1,16-01-24,11:36:00 PM,2,14
X4,X4,16-04-02,10:09:00 AM,5,12
L3,L3,16-03-11,4:06:00 PM,4,4
restaurant,L3,16-03-12,12:32:00 PM,1,0
L3,L3,16-03-13,3:07:00 AM,2,15
L3,L3,16-03-09,7:05:00 PM,2,9
restaurant,L3,16-03-07,9:55:00 AM,1,9
restaurant,S18,16-03-11,9:53:00 AM,5,15
restaurant,S19,16-03-12,3:56:00 AM,1,3
L4,L4,16-03-11,6:15:00 AM,3,0
L4,L4,16-03-06,6:04:00 PM,1,4
L4,L4,16-03-13,12:56:00 PM,1,5
restaurant,L4,16-03-08,3:34:00 AM,1,5
restaurant,L4,16-03-08,11:32:00 AM,1,5
restaurant,L2,16-02-22,5:38:00 AM,5,8
restaurant,L2,16-02-22,3:23:00 AM,3,10
L5,L5,16-03-15,3:43:00 PM,3,13
restaurant,L5,16-03-21,11:20:00 AM,4,0
restaurant,L5,16-03-22,8:30:00 AM,2,1
restaurant,L5,16-03-16,2:32:00 PM,3,1
L7,L7,16-03-22,4:16:00 AM,3,14
L7,L7,16-03-12,3:14:00 PM,4,11
restaurant,L6,16-01-28,6:09:00 PM,1,11
S11,S11,16-02-18,9:17:00 AM,5,7
restaurant,S34,16-02-23,2:58:00 PM,1,7
restaurant,L2,16-02-07,8:37:00 PM,3,6
restaurant,S23,16-01-11,8:53:00 PM,5,3
S24,S24,16-01-09,3:45:00 AM,3,8
D0,D0,16-02-13,9:43:00 AM,1,15
L9,L9,16-02-06,10:18:00 AM,4,14
L9,L9,16-02-04,8:06:00 PM,1,15
D3,D3,16-02-27,9:51:00 PM,3,3
restaurant,S25,16-01-14,2:59:00 AM,5,9
S26,S26,16-01-13,2:33:00 AM,1,12
S27,S27,16-01-10,2:23:00 PM,1,14
restaurant,L1,16-02-01,4:17:00 AM,5,9
restaurant,N17,16-02-07,12:28:00 PM,1,13
restaurant,N18,16-02-13,8:51:00 PM,4,11
restaurant,N21,16-02-07,3:29:00 AM,1,5
restaurant,L21,16-03-13,4:11:00 PM,2,4
L21,L21,16-03-14,5:33:00 AM,1,6
restaurant,L21,16-03-14,2:51:00 AM,4,14
restaurant,L22,16-03-14,12:45:00 PM,1,1
restaurant,L22,16-03-10,12:20:00 PM,5,11
restaurant,L3,16-03-01,9:53:00 AM,3,8
restaurant,L2,16-01-25,6:48:00 AM,4,9
restaurant,L11,16-01-26,4:38:00 AM,5,7
L6,L6,16-03-26,2:07:00 AM,3,9
restaurant,L2,16-02-16,3:30:00 AM,2,11
restaurant,L3,16-02-15,11:31:00 PM,3,11
restaurant,D14,16-03-08,11:09:00 AM,1,9
L1,L1,16-01-21,3:54:00 AM,3,14
restaurant,L4,16-02-15,7:09:00 PM,4,10
X8,X8,16-01-29,3:37:00 PM,1,2
X9,X9,16-01-20,3:09:00 PM,4,13
restaurant,S4,16-03-19,7:38:00 AM,2,0
restaurant,S4,16-03-22,6:35:00 PM,1,13
S4,S4,16-03-23,8:45:00 PM,3,8
restaurant,S5,16-03-28,3:59:00 PM,5,4
restaurant,S5,16-03-27,5:38:00 AM,5,4
S6,S6,16-03-24,3:03:00 PM,4,4
restaurant,L0,16-02-05,1:31:00 PM,1,0
L1,L1,16-02-03,11:28:00 AM,3,2
restaurant,L2,16-01-10,12:20:00 AM,4,13
restaurant,L2,16-01-10,7:37:00 AM,5,5
restaurant,L5,16-03-09,10:41:00 AM,2,13
L5,L5,16-03-08,11:33:00 PM,3,1
restaurant,S16,16-03-15,3:14:00 PM,4,1
restaurant,S17,16-03-15,7:31:00 AM,3,10
restaurant,L1,16-01-10,5:50:00 AM,4,7
restaurant,L1,16-01-08,7:10:00 PM,4,9
L7,L7,16-02-20,10:48:00 AM,3,15
L7,L7,16-02-20,12:28:00 PM,5,11
restaurant,S19,16-03-13,6:09:00 AM,5,14
restaurant,S19,16-03-12,11:47:00 AM,4,10
restaurant,S21,16-03-17,4:48:00 AM,5,9
restaurant,S21,16-03-12,9:28:00 AM,5,7
restaurant,S40,16-02-21,5:41:00 PM,5,6
L2,L2,16-01-08,3:45:00 PM,4,4
restaurant,L4,16-01-08,3:40:00 PM,1,10
L6,L6,16-01-26,11:59:00 PM,5,9
restaurant,L6,16-01-24,8:25:00 AM,5,10
L6,L6,16-01-22,10:26:00 AM,1,3
restaurant,L6,16-01-24,2:09:00 PM,5,7
restaurant,S51,16-03-19,3:59:00 PM,5,6
S58,S58,16-03-19,11:53:00 AM,1,1
restaurant,L2,16-02-03,7:01:00 AM,5,5
restaurant,S7,16-02-12,12:02:00 AM,5,13
restaurant,S10,16-02-18,7:04:00 PM,1,12
restaurant,S10,16-02-21,10:25:00 PM,1,11
S10,S10,16-02-18,9:32:00 PM,1,5
S24,S24,16-01-25,12:02:00 PM,5,3
S25,S25,16-01-28,12:19:00 PM,4,8
restaurant,L1,16-02-13,8:17:00 AM,2,5
restaurant,L8,16-01-09,3:57:00 AM,5,13
restaurant,L4,16-01-30,6:11:00 AM,1,10
restaurant,L4,16-02-02,6:57:00 PM,4,15
L3,L3,16-03-19,4:13:00 PM,5,14
restaurant,L3,16-02-03,12:36:00 AM,2,14
L3,L3,16-02-05,4:58:00 AM,4,12
L3,L3,16-02-04,1:26:00 PM,4,5
X9,X9,16-02-13,8:28:00 AM,5,11
restaurant,X10,16-02-22,5:37:00 PM,5,12
L6,L6,16-03-08,9:09:00 AM,3,15
L6,L6,16-03-09,3:12:00 PM,1,14
L3,L3,16-01-18,2:09:00 AM,1,4
restaurant,L3,16-01-16,12:25:00 PM,3,4
restaurant,L3,16-01-15,6:36:00 AM,1,14
L3,L3,16-01-17,10:43:00 AM,4,11
S97,S97,16-03-24,7:42:00 PM,1,7
restaurant,S98,16-03-26,11:26:00 AM,4,11
restaurant,S98,16-03-25,2:01:00 PM,2,4
S112,S112,16-03-27,3:56:00 AM,2,7
restaurant,S112,16-03-25,6:50:00 PM,3,11
S113,S113,16-03-29,8:30:00 AM,2,8
restaurant,S113,16-03-24,9:30:00 PM,1,14
X4,X4,16-03-25,1:04:00 PM,2,2
S8,S8,16-03-01,2:39:00 AM,5,5
restaurant,S9,16-02-29,9:12:00 AM,3,4
restaurant,L4,16-03-26,3:48:00 AM,4,10
restaurant,L4,16-03-23,3:19:00 AM,2,12
restaurant,L6,16-03-18,8:51:00 PM,1,10
L6,L6,16-03-16,1:28:00 PM,2,11
L6,L6,16-03-23,2:22:00 AM,1,7
L6,L6,16-03-22,1:06:00 AM,4,13
restaurant,L6,16-03-15,1:34:00 AM,2,11
L6,L6,16-03-23,9:31:00 PM,4,12
restaurant,L9,16-02-18,9:10:00 PM,1,11
L9,L9,16-02-18,9:21:00 PM,4,13
L7,L7,16-04-02,1:54:00 AM,3,1
L7,L7,16-03-25,3:14:00 AM,3,10
restaurant,L7,16-03-29,3:28:00 PM,3,10
restaurant,S11,16-03-03,4:11:00 AM,3,13
restaurant,L7,16-03-07,12:31:00 PM,4,8
restaurant,L8,16-03-09,7:13:00 PM,2,7
restaurant,L8,16-03-12,12:44:00 AM,5,0
L8,L8,16-03-07,3:52:00 AM,1,14
restaurant,L8,16-03-13,4:45:00 PM,4,14
restaurant,L8,16-03-10,3:31:00 PM,4,5
restaurant,L2,16-03-18,5:34:00 PM,5,11
restaurant,L11,16-03-18,3:55:00 PM,5,5
restaurant,L11,16-03-18,9:20:00 PM,3,5
restaurant,S13,16-01-25,8:24:00 AM,5,4
restaurant,L4,16-01-11,10:44:00 AM,5,13
restaurant,L4,16-01-15,11:57:00 AM,1,15
restaurant,L10,16-02-08,8:09:00 PM,5,10
restaurant,L10,16-02-10,10:11:00 AM,5,0
restaurant,N10,16-01-24,2:19:00 PM,3,7
L23,L23,16-03-17,1:56:00 PM,1,12
L23,L23,16-03-16,5:59:00 PM,2,11
restaurant,L7,16-03-25,11:39:00 PM,1,12
D1,D1,16-01-03,8:26:00 PM,5,14
restaurant,L10,16-03-08,7:56:00 PM,2,6
L10,L10,16-03-08,11:49:00 PM,5,0
restaurant,S5,16-02-04,10:24:00 PM,1,9
S5,S5,16-01-29,5:59:00 PM,4,12
restaurant,S6,16-01-29,2:36:00 PM,5,7
S6,S6,16-02-01,11:01:00 AM,1,3
restaurant,S7,16-02-01,1:59:00 PM,1,5
restaurant,S8,16-02-04,2:39:00 PM,5,12
restaurant,S8,16-01-28,9:04:00 AM,5,13
restaurant,S16,16-02-29,5:50:00 PM,3,13
S11,S11,16-03-24,7:10:00 PM,3,8
restaurant,S15,16-03-24,5:39:00 PM,1,13
S16,S16,16-03-21,9:40:00 AM,4,8
S16,S16,16-03-25,2:40:00 PM,3,8
restaurant,S17,16-03-21,10:11:00 AM,1,0
restaurant,S17,16-03-25,7:18:00 AM,1,9
S19,S19,16-03-25,6:58:00 PM,5,7
S20,S20,16-03-22,9:33:00 AM,3,9
restaurant,S20,16-03-26,3:31:00 PM,2,6
S0,S0,16-02-09,3:01:00 AM,1,9
restaurant,S1,16-02-12,1:15:00 PM,4,5
restaurant,L11,16-03-07,8:17:00 AM,5,11
L11,L11,16-03-07,8:14:00 AM,5,3
restaurant,L11,16-03-09,6:10:00 AM,5,14
L24,L24,16-03-24,7:12:00 PM,2,1
restaurant,S12,16-01-06,7:17:00 PM,5,11
restaurant,L12,16-03-09,12:41:00 PM,1,12
restaurant,L12,16-03-05,7:53:00 AM,1,15
restaurant,L12,16-03-07,12:03:00 PM,4,6
restaurant,L12,16-03-08,7:08:00 AM,1,11
restaurant,N22,16-02-02,3:56:00 PM,3,2
restaurant,N23,16-02-05,3:35:00 AM,5,15
N24,N24,16-01-31,3:30:00 AM,4,3
N25,N25,16-02-12,2:41:00 AM,3,11
restaurant,X14,16-01-21,12:55:00 AM,2,11
restaurant,X15,16-01-25,5:44:00 PM,5,12
restaurant,L5,16-03-02,12:51:00 AM,1,0
restaurant,D4,16-02-25,7:37:00 AM,4,0
S24,S24,16-03-21,11:54:00 PM,1,12
S25,S25,16-03-22,7:47:00 AM,4,8
restaurant,S26,16-03-22,10:30:00 PM,5,0
S40,S40,16-02-14,3:57:00 PM,4,3
S10,S10,16-02-07,2:45:00 PM,3,9
restaurant,S12,16-02-08,7:34:00 PM,5,15
restaurant,S17,16-01-22,11:14:00 AM,5,8
restaurant,L8,16-03-30,1:36:00 PM,4,4
L8,L8,16-03-22,9:15:00 AM,2,9
restaurant,L8,16-03-30,5:10:00 AM,5,7
restaurant,L8,16-01-23,1:15:00 AM,5,5
restaurant,L8,16-01-25,4:17:00 AM,3,8
L9,L9,16-01-26,3:04:00 PM,5,13
restaurant,L9,16-01-26,4:53:00 AM,2,4
S7,S7,16-01-16,5:33:00 PM,1,11
L10,L10,16-03-26,8:40:00 AM,5,11
restaurant,L10,16-03-27,12:51:00 AM,4,15
L10,L10,16-04-04,7:33:00 AM,1,12
restaurant,S23,16-03-11,8:03:00 AM,1,15
S24,S24,16-03-09,12:36:00 PM,5,8
L6,L6,16-02-28,10:04:00 AM,4,4
restaurant,L6,16-03-01,9:12:00 AM,1,7
L7,L7,16-02-29,5:00:00 AM,1,7
restaurant,X7,16-03-23,10:50:00 PM,3,6
S34,S34,16-01-19,7:51:00 AM,3,3
S34,S34,16-01-11,4:16:00 PM,2,13
restaurant,S34,16-01-21,5:00:00 AM,5,9
S10,S10,16-03-08,1:46:00 PM,5,6
restaurant,S11,16-03-10,11:53:00 AM,5,7
restaurant,S13,16-03-07,7:20:00 PM,4,4
L10,L10,16-03-27,2:16:00 AM,1,3
restaurant,L11,16-03-27,2:09:00 PM,1,15
restaurant,L5,16-01-01,2:33:00 AM,3,0
L5,L5,16-01-11,4:48:00 PM,1,6
restaurant,L12,16-03-23,9:48:00 PM,1,0
L12,L12,16-03-23,12:48:00 AM,3,15
restaurant,L14,16-03-10,10:42:00 PM,1,8
L14,L14,16-03-12,9:02:00 AM,5,14
L14,L14,16-03-08,9:41:00 AM,1,3
L14,L14,16-03-15,6:08:00 PM,2,10
restaurant,L14,16-03-08,8:26:00 PM,5,0
L15,L15,16-03-14,11:06:00 PM,4,5
L15,L15,16-03-14,11:30:00 PM,3,3
N18,N18,16-03-26,5:37:00 AM,1,2
restaurant,N30,16-03-18,7:36:00 PM,2,13
N32,N32,16-03-23,5:13:00 AM,3,0
restaurant,N34,16-03-13,7:32:00 PM,1,0
L3,L3,16-02-21,3:54:00 PM,2,6
L3,L3,16-02-19,8:03:00 AM,4,10
L3,L3,16-02-22,5:00:00 PM,4,10
restaurant,L6,16-02-19,2:24:00 PM,2,1
restaurant,L6,16-02-19,5:28:00 AM,4,4
L6,L6,16-02-22,11:04:00 AM,2,6
L7,L7,16-02-24,6:48:00 AM,3,8
L6,L6,16-01-13,3:35:00 PM,5,5
S19,S19,16-03-02,7:22:00 AM,4,15
S27,S27,16-03-02,4:14:00 AM,5,2
restaurant,S28,16-03-04,5:31:00 AM,2,13
L0,L0,16-02-14,1:00:00 PM,1,2
restaurant,L30,16-03-28,12:43:00 AM,3,4
restaurant,L8,16-02-22,11:39:00 PM,1,10
restaurant,L16,16-02-18,8:01:00 PM,4,7
restaurant,L4,16-01-20,12:37:00 PM,4,11
L4,L4,16-01-20,6:44:00 AM,1,15
restaurant,N23,16-04-02,10:52:00 PM,1,9
N26,N26,16-04-02,6:48:00 PM,3,15
restaurant,L12,16-02-08,7:05:00 PM,1,5
restaurant,L12,16-02-06,8:21:00 AM,3,11
restaurant,L12,16-02-11,1:39:00 AM,4,14
restaurant,L10,16-01-26,10:20:00 PM,2,2
L11,L11,16-02-15,7:48:00 AM,1,10
restaurant,L11,16-02-19,8:26:00 PM,4,8
restaurant,L11,16-02-15,5:55:00 PM,3,4
restaurant,L11,16-02-16,6:07:00 AM,1,4
L12,L12,16-02-10,10:41:00 AM,1,2
restaurant,L12,16-02-14,8:16:00 PM,3,5
restaurant,S12,16-02-13,6:47:00 PM,2,2
restaurant,L11,16-02-02,7:22:00 AM,4,12
restaurant,L5,16-01-31,5:46:00 PM,1,10
restaurant,L5,16-01-31,4:49:00 AM,4,6
restaurant,L24,16-01-26,6:36:00 PM,3,3
D9,D9,16-02-05,6:17:00 AM,2,10
restaurant,L13,16-03-27,11:28:00 AM,4,10
restaurant,L13,16-03-25,1:18:00 AM,4,15
L13,L13,16-03-25,3:41:00 AM,5,1
restaurant,S8,16-02-06,8:26:00 AM,4,0
S9,S9,16-02-04,1:22:00 AM,3,1
S10,S10,16-01-31,3:03:00 PM,3,5
restaurant,S12,16-01-27,1:13:00 AM,5,12
S15,S15,16-02-06,1:43:00 AM,4,13
restaurant,S16,16-02-07,9:37:00 PM,2,8
restaurant,S41,16-01-17,12:31:00 PM,1,15
S42,S42,16-01-10,1:56:00 AM,1,4
restaurant,S42,16-01-14,5:18:00 PM,4,0
S42,S42,16-01-11,7:06:00 PM,4,15
L4,L4,16-02-20,11:40:00 PM,1,2
L4,L4,16-02-19,6:55:00 PM,1,6
L18,L18,16-02-21,10:32:00 AM,1,2
restaurant,L5,16-02-05,8:18:00 PM,4,11
L5,L5,16-02-06,7:48:00 PM,3,14
restaurant,S43,16-01-17,1:02:00 PM,1,5
restaurant,S43,16-01-11,6:58:00 PM,3,2
restaurant,S43,16-01-09,11:24:00 AM,5,5
restaurant,S44,16-01-16,4:19:00 PM,2,11
S44,S44,16-01-15,2:26:00 AM,4,8
S44,S44,16-01-10,10:03:00 AM,1,3
restaurant,S45,16-01-15,8:00:00 AM,4,13
restaurant,S45,16-01-15,8:24:00 AM,4,6
restaurant,S45,16-01-16,3:28:00 PM,3,10
restaurant,L4,16-01-18,10:31:00 PM,4,14
restaurant,L11,16-01-25,12:34:00 PM,5,9
L6,L6,16-01-02,8:45:00 PM,5,5
restaurant,L6,16-01-02,2:10:00 AM,4,11
restaurant,L10,16-02-06,6:13:00 AM,4,5
restaurant,L10,16-02-06,4:51:00 PM,5,7
L11,L11,16-02-06,8:50:00 AM,2,13
L7,L7,16-01-15,11:37:00 AM,1,13
L7,L7,16-01-10,10:59:00 PM,4,13
restaurant,L7,16-01-11,4:19:00 AM,5,4
L8,L8,16-01-13,10:57:00 AM,3,0
restaurant,L11,16-03-13,2:44:00 AM,3,10
restaurant,L7,16-02-01,10:06:00 AM,4,15
restaurant,S15,16-03-07,8:53:00 AM,5,7
restaurant,S17,16-03-05,7:47:00 AM,1,8
N34,N34,16-02-09,11:36:00 PM,3,7
L14,L14,16-03-26,7:14:00 AM,5,15
L14,L14,16-03-27,11:16:00 PM,2,14
N39,N39,16-02-11,8:32:00 AM,4,2
N40,N40,16-02-10,12:47:00 PM,3,10
restaurant,L9,16-01-12,2:44:00 AM,3,9
restaurant,L10,16-01-11,9:24:00 AM,3,8
restaurant,L10,16-01-12,8:20:00 PM,3,10
restaurant,S48,16-01-10,2:31:00 PM,3,15
S49,S49,16-01-05,6:27:00 PM,3,0
restaurant,S49,16-01-06,7:59:00 PM,5,10
S50,S50,16-01-10,10:41:00 PM,1,0
